RouteID,VehicleCount,AverageSpeed,MaximumSpeed,MinimumSpeed,AverageLatitude,AverageLongitude,AverageBearing
7563,2,0.0,0.0,0.0,52.417680740356445,-1.9687719941139221,165.0
4373,2,0.0,0.0,0.0,53.55807685852051,-1.4785495400428772,78.0
81989,6,0.0,0.0,0.0,53.51451810201009,-2.489899476369222,150.83333333333334
9470,2,0.0,0.0,0.0,51.85808181762695,-0.12822749838232994,247.0
7834,5,0.0,0.0,0.0,54.953433990478516,-1.5754010200500488,84.4
4738,13,0.0,0.0,0.0,51.45841158353365,-2.596758090532743,172.92307692307693
75840,6,0.0,0.0,0.0,50.830955505371094,-0.703989843527476,125.0
10983954,5,0.0,0.0,0.0,51.40872497558594,-0.2796802014112473,144.0
10424020,1,0.0,0.0,0.0,51.55213165283203,-0.30023300647735596,90.0
2415,1,0.0,0.0,0.0,51.70751190185547,-0.41634300351142883,-1.0
24568,3,0.0,0.0,0.0,51.808973948160805,-0.8172513246536255,139.66666666666666
138448,17,0.0,0.0,0.0,51.474259096033435,-0.1445515883319518,142.94117647058823
132997,1,0.0,0.0,0.0,51.0704345703125,-1.7942789793014526,354.0
132629,2,0.0,0.0,0.0,52.524803161621094,-1.466411530971527,216.0
12088669,1,0.0,0.0,0.0,54.979496002197266,-1.5050920248031616,339.0
109631,2,0.0,0.0,0.0,52.12928581237793,-1.3025075197219849,0.0
110890,1,0.0,0.0,0.0,53.443878173828125,-2.077234983444214,63.0
58832,2,0.0,0.0,0.0,53.03311538696289,0.09960050228983164,112.5
974209,4,0.0,0.0,0.0,52.52459907531738,-2.0318912863731384,243.25
131291,1,0.0,0.0,0.0,54.07501220703125,-2.836601972579956,150.0
59162,7,0.0,0.0,0.0,53.426544189453125,-2.8592432907649448,97.57142857142857
133694,1,0.0,0.0,0.0,53.12160110473633,-1.5616079568862915,72.0
88512,2,0.0,0.0,0.0,54.55745887756348,-1.2766430377960205,181.0
8154228,7,0.0,0.0,0.0,53.757257734026226,-2.5511690207890103,138.85714285714286
131085,10,0.0,0.0,0.0,52.201643753051755,0.15361449867486954,105.6
113957,1,0.0,0.0,0.0,53.792110443115234,-2.7069220542907715,260.0
19354,5,0.0,0.0,0.0,53.81253356933594,-2.3254167556762697,120.8
