Operator,TotalServices,UniqueServices,UniqueRoutes,TotalTrips,AverageTrips,MaximumTrips,MinimumTrips,TotalStops,AverageStops,MaximumStops,MinimumStops,PerformanceScore
Ashwood Travel,15,15,15,30,2.0,2,2,197,13.133333333333333,22,1,446.1
M&H Coaches,2,1,1,49,24.5,26,23,278,139.0,139,139,128.0
South West Coaches,18,10,15,369,20.5,72,2,992,55.111111111111114,119,14,770.2
Coach Services,23,15,22,310,13.478260869565217,45,2,1234,53.65217391304348,100,9,974.2
Littles Travel,9,5,6,48,5.333333333333333,8,2,704,78.22222222222223,143,50,370.4
B P Brown Travel Ltd,55,23,35,612,11.127272727272727,49,1,2570,46.72727272727273,134,6,1770.8
Ron W Dew & Son Ltd,39,19,23,274,7.0256410256410255,16,1,2127,54.53846153846154,127,21,1282.7
Link Rider,1,1,1,2,2.0,2,2,30,30.0,30,30,34.8
West Oxfordshire Community Transport,11,10,10,85,7.7272727272727275,19,2,294,26.727272727272727,80,9,372.2
Ellenvale Coaches,3,2,2,10,3.3333333333333335,4,2,40,13.333333333333334,16,12,66.0
Reays Coaches,3,3,3,30,10.0,20,5,111,37.0,70,13,120.3
NIBSbuses,34,24,34,337,9.911764705882353,43,1,2254,66.29411764705883,146,9,1561.0
F R Willetts,7,7,7,21,3.0,10,1,552,78.85714285714286,187,12,349.0
Beeline Coaches,4,4,4,47,11.75,39,2,417,104.25,163,44,243.9
Tally Ho Coaches,9,9,8,129,14.333333333333334,79,2,378,42.0,116,12,375.0
South Staffs,10,7,9,34,3.4,16,2,315,31.5,78,13,313.1
Stowmarket Minibus & Coach Hire,2,1,1,4,2.0,2,2,66,33.0,36,30,46.4
Coach Events Services,13,3,3,461,35.46153846153846,75,15,38,2.923076923076923,6,2,270.8
Coatham Coaches,3,3,2,10,3.3333333333333335,4,2,136,45.333333333333336,92,19,104.8
Duck Tours,2,2,2,8,4.0,4,4,2,1.0,1,1,53.8
Berry's Coaches,3,3,3,40,13.333333333333334,16,8,37,12.333333333333334,17,9,102.1
R & J Coaches,2,2,2,4,2.0,2,2,164,82.0,85,79,100.8
Yarranton Brothers,10,3,4,47,4.7,10,2,853,85.3,110,60,364.7
Grindles Coaches,2,2,2,4,2.0,2,2,42,21.0,25,17,64.2
A Lyles & Son,9,8,8,58,6.444444444444445,26,2,475,52.77777777777778,78,24,365.7
Moving People,2,2,2,48,24.0,27,21,138,69.0,76,62,110.6
Redline Buses,47,13,21,981,20.872340425531913,113,1,3017,64.19148936170212,119,14,1742.5
Oakleys Coaches,5,5,5,60,12.0,24,4,199,39.8,86,17,208.7
Star Travel,2,1,2,9,4.5,5,4,72,36.0,44,28,65.2
Eurocoaches Ltd,13,12,12,348,26.76923076923077,79,7,1193,91.76923076923077,171,42,797.1
Glen Valley Tours,14,5,5,82,5.857142857142857,22,2,700,50.0,68,3,367.8
A Minibus Plus,2,1,1,10,5.0,5,5,76,38.0,38,38,51.8
Catteralls,7,7,7,14,2.0,2,2,134,19.142857142857142,28,9,220.8
ASD Coaches,14,9,10,160,11.428571428571429,53,1,624,44.57142857142857,94,24,491.2
Aston Coaches,3,2,2,18,6.0,10,2,219,73.0,75,72,122.9
Carlone Buses,11,7,8,234,21.272727272727273,71,2,771,70.0909090909091,118,13,514.9
